topic_id,topic_title
1,Anti-Racism and Inclusion
2,Child Care
3,Climate Change and Energy
4,Corporate Taxes
5,Crime and Public Safety
6,Disaster Preparedness
7,Economy and Jobs
8,Education
9,Foreign Affairs
10,Health Care
11,Housing
12,Immigration
13,Indigenous Reconciliation
14,LGBTQ2S Rights
15,Long Term Care
16,National Security
17,Parental Support
18,Parliament and Ethics
19,Personal Finance
20,Personal Taxes
21,Public Transportation
22,Retirement and Seniors
23,Small Business
24,Technology
25,Trade
